time	zera	jedynki
0	176302	86867
1	157744	105425
2	171456	91713
3	167046	96123
4	168709	94460
5	168089	95080
6	168066	95103
7	167777	95392
8	168194	94975
9	167469	95700
10	167560	95609
11	167495	95674
12	167326	95843
13	167292	95877
14	167154	96015
15	167015	96154
16	166716	96453
17	166275	96894
18	166358	96811
19	165931	97238
20	166190	96979
21	165926	97243
22	165849	97320
23	165408	97761
24	165527	97642
25	165289	97880
26	165591	97578
27	165130	98039
28	165009	98160
29	165057	98112
30	164997	98172
31	164972	98197
32	164521	98648
33	164406	98763
34	164298	98871
35	164596	98573
36	163788	99381
37	164193	98976
38	163090	100079
39	163047	100122
40	163212	99957
41	163036	100133
42	163320	99849
43	162766	100403
44	162688	100481
45	162510	100659
46	162940	100229
47	162679	100490
48	162367	100802
49	162943	100226
50	162211	100958
51	162606	100563
52	161737	101432
53	162337	100832
54	161611	101558
55	161927	101242
56	161612	101557
57	161911	101258
58	161710	101459
59	161699	101470
60	161759	101410
61	161459	101710
62	161406	101763
63	160939	102230
64	161149	102020
65	161191	101978
66	160532	102637
67	160840	102329
68	160458	102711
69	160700	102469
70	160373	102796
71	160236	102933
72	160615	102554
73	159845	103324
74	160176	102993
75	160408	102761
76	159898	103271
77	160125	103044
78	160118	103051
79	160042	103127
80	160221	102948
81	160234	102935
82	160472	102697
83	160184	102985
84	160162	103007
85	159991	103178
86	159877	103292
87	160019	103150
88	159759	103410
89	159911	103258
90	159817	103352
91	159686	103483
92	159722	103447
93	159720	103449
94	159718	103451
95	159371	103798
96	158950	104219
97	159081	104088
98	158995	104174
99	158895	104274
100	159186	103983
101	158777	104392
102	159146	104023
103	158703	104466
104	158725	104444
105	158813	104356
106	158121	105048
107	157885	105284
108	158172	104997
109	158246	104923
110	158165	105004
111	158011	105158
112	157849	105320
113	158121	105048
114	157437	105732
115	157830	105339
116	157658	105511
117	157553	105616
118	157314	105855
119	157097	106072
120	157405	105764
121	157764	105405
122	157034	106135
123	157059	106110
124	157262	105907
125	156913	106256
126	156918	106251
127	156511	106658
128	156363	106806
129	156625	106544
130	155917	107252
131	156583	106586
132	156139	107030
133	156404	106765
134	156226	106943
135	156100	107069
136	156042	107127
137	156033	107136
138	156223	106946
139	155980	107189
140	156251	106918
141	155801	107368
142	156009	107160
143	155631	107538
144	155570	107599
145	155296	107873
146	155407	107762
147	155462	107707
148	155145	108024
149	155315	107854
150	155138	108031
151	154531	108638
152	155292	107877
153	154991	108178
154	154893	108276
155	155049	108120
156	154822	108347
157	155355	107814
158	154524	108645
159	154822	108347
160	154640	108529
161	154537	108632
162	154340	108829
163	154477	108692
164	154632	108537
165	153940	109229
166	154314	108855
167	154049	109120
168	154322	108847
169	154243	108926
170	153913	109256
171	154065	109104
172	153767	109402
173	153962	109207
174	153262	109907
175	153438	109731
176	153156	110013
177	152783	110386
178	153208	109961
179	152933	110236
180	152917	110252
181	152929	110240
182	152990	110179
183	152838	110331
184	152805	110364
185	152947	110222
186	152858	110311
187	152427	110742
188	153036	110133
189	152297	110872
190	152338	110831
191	152517	110652
192	152224	110945
193	152198	110971
194	151955	111214
195	151964	111205
196	151625	111544
197	152122	111047
198	151794	111375
199	151867	111302
200	151611	111558
201	151695	111474
202	151872	111297
203	151490	111679
204	151219	111950
205	151152	112017
206	150981	112188
207	151319	111850
208	151070	112099
209	151080	112089
210	150884	112285
211	150629	112540
212	150475	112694
213	150225	112944
214	150426	112743
215	150285	112884
216	149801	113368
217	149993	113176
218	149845	113324
219	149570	113599
220	149513	113656
221	149897	113272
222	150090	113079
223	149523	113646
224	149763	113406
225	149590	113579
226	149323	113846
227	149447	113722
228	149723	113446
229	149062	114107
230	149124	114045
231	148984	114185
232	149178	113991
233	148905	114264
234	148993	114176
235	148937	114232
236	148873	114296
237	148685	114484
238	148529	114640
239	148407	114762
240	148207	114962
241	148527	114642
242	148249	114920
243	147796	115373
244	148379	114790
245	147678	115491
246	147906	115263
247	147836	115333
248	147699	115470
249	147612	115557
250	147803	115366
251	147219	115950
252	147542	115627
253	147085	116084
254	146823	116346
255	146932	116237
256	146918	116251
257	147083	116086
258	147043	116126
259	147038	116131
260	146675	116494
261	147231	115938
262	146522	116647
263	146680	116489
264	146480	116689
265	146645	116524
266	146831	116338
267	146607	116562
268	146521	116648
269	146853	116316
270	146444	116725
271	146371	116798
272	146458	116711
273	146304	116865
274	146211	116958
275	146277	116892
276	146361	116808
277	146334	116835
278	146182	116987
279	146388	116781
280	145968	117201
281	146125	117044
282	146106	117063
283	146076	117093
284	145990	117179
285	145907	117262
286	145339	117830
287	145719	117450
288	145369	117800
289	146022	117147
290	145683	117486
291	145534	117635
292	145424	117745
293	145377	117792
294	145306	117863
295	145061	118108
296	145118	118051
297	144960	118209
298	144976	118193
299	144774	118395
300	144402	118767
301	144600	118569
302	144446	118723
303	144414	118755
304	144499	118670
305	144227	118942
306	144512	118657
307	144115	119054
308	144309	118860
309	144019	119150
310	144281	118888
311	143863	119306
312	144091	119078
313	143875	119294
314	144015	119154
315	143962	119207
316	143664	119505
317	143716	119453
318	143710	119459
319	143593	119576
320	143542	119627
321	143127	120042
322	143671	119498
323	143322	119847
324	143039	120130
325	143106	120063
326	142727	120442
327	142833	120336
328	142616	120553
329	142625	120544
330	142728	120441
331	142417	120752
332	142623	120546
333	142500	120669
334	142577	120592
335	142638	120531
336	142430	120739
337	142598	120571
338	142498	120671
339	142434	120735
340	142307	120862
341	142336	120833
342	142299	120870
343	142149	121020
344	142400	120769
345	142219	120950
346	142237	120932
347	142065	121104
348	141999	121170
349	141871	121298
350	142150	121019
351	141962	121207
352	141997	121172
353	141889	121280
354	141898	121271
355	141973	121196
356	141645	121524
357	141591	121578
358	141622	121547
359	141521	121648
360	141575	121594
361	141415	121754
362	141533	121636
363	141477	121692
364	141219	121950
365	141189	121980
366	140923	122246
367	141266	121903
368	140969	122200
369	141176	121993
370	140984	122185
371	140884	122285
372	141003	122166
373	141002	122167
374	140685	122484
375	140895	122274
376	140873	122296
377	140737	122432
378	140758	122411
379	140812	122357
380	140630	122539
381	140322	122847
382	140536	122633
383	140257	122912
384	140168	123001
385	140342	122827
386	140227	122942
387	140182	122987
388	140167	123002
389	140111	123058
390	140117	123052
391	140058	123111
392	139986	123183
393	140053	123116
394	139931	123238
395	139893	123276
396	139840	123329
397	139714	123455
398	140004	123165
399	139568	123601
400	139718	123451
401	139664	123505
402	139811	123358
403	139615	123554
404	139542	123627
405	139544	123625
406	139477	123692
407	139566	123603
408	139423	123746
409	139530	123639
410	139371	123798
411	139396	123773
412	139335	123834
413	139439	123730
